,STMD_R,STMD_L,LPTC_R,LPTC_L,LPTC_HR
969,0.0,0.0,0.09943543638600891,0.006948045536313129,0.11248739084969578
970,0.0,0.0,0.08711062217463487,0.006677562011785124,0.10043306016284975
971,0.0,0.0,0.07451142167650848,0.006257689963150702,0.08825373171335778
972,0.0,0.0,0.06221724503016869,0.005760379392712133,0.07645686563745656
973,0.0,0.0,0.06250749102076164,0.005234645298145562,0.07727284572261608
974,0.0,0.0,0.0668519000590718,0.004715377160620697,0.08213652289845108
975,0.0,0.0,0.07734609637852152,0.004218560523684992,0.09312753585483653
976,0.0,0.0,0.09280093191283738,0.003758607974731026,0.10904232393810635
977,0.0,0.0,0.11417232833802145,0.003342524110174472,0.13082980422784699
978,0.0,0.0,0.13950057902587465,0.0029736224000732766,0.15652695662580138
979,0.0,0.0,0.16254546234010353,0.002646291097303045,0.17989917124280047
980,0.0,0.0,0.1972268339579978,0.002358075313389508,0.2148687586446083
981,0.0,0.0,0.23815211058078442,0.006033033791772382,0.252119076789012
982,0.0,0.0,0.25842728272990634,0.006332739902271864,0.27209454282763446
983,0.0,0.0,0.2576736078756527,0.008364386023492903,0.2693092218521598
984,0.0,0.0,0.247016257481302,0.009612021605175413,0.2574042358761266
985,0.0,0.0,0.22261990038880708,0.007397397032028025,0.23522250335677905
986,0.0,0.0,0.1993019781814062,0.0,0.21930197818140618
987,0.0,0.0,0.17908551897671882,0.002332777084637949,0.1967527418920809
988,0.0,0.0,0.1512699899119465,0.008152444550322435,0.16311754536162407
989,0.0,0.0,0.11904684449546589,0.007779027037803199,0.13126781745766267
990,0.0,0.0,0.08382681119049723,0.008697990734070656,0.09512882045642658
991,0.0,0.0,0.07087915389936358,0.008934727776631601,0.08194442612273198
992,0.0,0.0,0.06586421516770818,0.008733688505013174,0.07713052666269501
993,0.0,0.0,0.06262292500845815,0.008279441262507388,0.07434348374595078
994,0.0,0.0,0.06002488520024267,0.007679404906733825,0.07234548029350885
995,0.0,0.0,0.06664734450866659,0.007008627705976544,0.07963871680269005
996,0.0,0.0,0.07656598682162408,0.006322021595076327,0.09024396522654775
997,0.0,0.0,0.09337129349561929,0.00566073118390964,0.10771056231170965
998,0.0,0.0,0.12101035311191738,0.005045087820131425,0.13596526529178596
999,0.0,0.0,0.1498196399475771,0.006865228700035924,0.16295441124754118
1000,0.0,0.0,0.17451293334296752,0.007125856861759375,0.18738707648120814
1001,0.0,0.0,0.19898731109278922,0.007292081717155921,0.2116952293756333
1002,0.0,0.0,0.22071583344776857,0.005787751831990123,0.23492808161577847
1003,0.0,0.0,0.25511905280817515,0.0053771188639523725,0.26974193394422274
1004,0.0,0.0,0.27021715606493896,0.007324373295499549,0.2828927827694394
1005,0.0,0.0,0.2543410705504033,0.006810417596506047,0.2675306529538973
1006,0.0,0.0,0.21834111569286885,0.007674292391147657,0.2306668233017212
1007,0.0,0.0,0.18666862941886145,0.02959827891507362,0.1770703505037878
1008,0.0,0.0,0.17692163985131887,0.08969393905722117,0.10722770079409774
1009,0.0,0.0,1.709332066316966,1.3940400233090102,0.33529204300795595
1010,0.0,0.0,2.680087763151657,2.7529123888044698,-0.05282462565281275
1011,0.0,0.0,3.4235082451131453,3.1309427139448585,0.31256553116828667
1012,0.0,0.0,3.544316156486579,3.249553739285637,0.31476241720094245
1013,0.0,0.0,3.461934907129883,3.179785130532493,0.30214977659738995
1014,0.0,0.0,2.8985051198229113,2.986571994751899,-0.06806687492898794
1015,0.0,0.0,2.6424057487334673,2.729554612747341,-0.0671488640138741
1016,0.0,0.0,2.2808940270829554,2.118417002146227,0.1824770249367283
1017,0.0,0.0,1.6989502894389639,1.4408979381398335,0.2780523512991304
1018,0.0,0.0,1.1593803482985185,0.9174529354282962,0.26192741287022236
1019,0.0,0.0,0.10574749512758311,0.13395869209268557,-0.00821119696510247
1020,0.0,0.0,0.08405159356562092,0.11414546386164619,-0.010093870296025237
1021,0.0,0.0,0.06440909978509834,0.09057169782003771,-0.006162598034939376
1022,0.0,0.0,0.049594850269084265,0.06970950360376708,-0.0001146533346828224
1023,0.0,0.0,0.03838791890148842,0.05913440939247612,-0.0007464904909877008
1024,0.0,0.0,0.032308846723849836,0.048220546144973044,0.004088300578876797
1025,0.0,0.0,0.021264496125870603,0.03875787252643123,0.002506623599439376
1026,0.0,0.0,0.015980562985933467,0.026811735120305515,0.009168827865627956
1027,0.0,0.0,0.013314277276147412,0.01853839944330258,0.014775877832844828
1028,0.0,0.0,0.007401099407061793,0.013720465043897581,0.013680634363164211
